==1449== Lackey, an example Valgrind tool
==1449== Copyright (C) 2002-2017, and GNU GPL'd, by Nicholas Nethercote.
==1449== Using Valgrind-3.15.0 and LibVEX; rerun with -h for copyright info
==1449== Command: ./benchmarks/native/memory_walk
==1449== Parent PID: 554
I  040021f1,6
I  04002170,4
I  04002174,6
I  04002260,4
 L 04000f30,8
I  04002264,3
 S 0402e018,8
I  04002267,5
I  0400217a,4
I  0400217e,3
I  04002181,6
I  04002187,4
 L 04000f40,8
I  0400218b,3
 L 04000f38,8
I  0400218e,3
I  04002191,3
I  04002194,3
I  04002197,4
I  0400219b,4
I  0400219f,4
I  040021a3,4
I  040021a7,2
I  040021a9,2
I  040021ab,3
I  040021ae,2
I  040021b0,5
 L 0400077c,1
I  040021b5,5
 L 0400077e,2
I  040021ba,4
 L 04000780,8
I  040021be,4
I  040021c2,5
I  040021c7,6
I  040021cd,7
 L 0402e9e8,8
I  040021d4,4
I  040021d8,6
I  040021de,4
I  040021e2,6
I  040021e8,2
I  040021ea,7
I  040021f1,6
I  04002170,4
I  04002174,6
I  04002260,4
 L 04000f48,8
I  04002264,3
 S 0402e020,8
I  04002267,5
I  0400217a,4
I  0400217e,3
I  04002181,6
I  04002187,4
 L 04000f58,8
I  0400218b,3
 L 04000f50,8
I  0400218e,3
I  04002191,3
I  04002194,3
I  04002197,4
I  0400219b,4
I  0400219f,4
I  040021a3,4
I  040021a7,2
I  040021a9,2
I  040021ab,3
I  040021ae,2
I  040021b0,5
 L 040004f4,1
I  040021b5,5
 L 040004f6,2
I  040021ba,4
 L 040004f8,8
I  040021be,4
I  040021c2,5
I  040021c7,6
I  040021cd,7
 L 0402e9e8,8
I  040021d4,4
I  040021d8,6
I  040021de,4
I  040021e2,6
I  040021e8,2
I  040021ea,7
I  040021f1,6
I  04002170,4
I  04002174,6
I  04002260,4
 L 04000f60,8
I  04002264,3
 S 0402e028,8
I  04002267,5
I  0400217a,4
I  0400217e,3
I  04002181,6
I  04002187,4
 L 04000f70,8
I  0400218b,3
